Time,NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,Label
2019-02-25 13:52:22.265314,-2.5848305833772622,161.35738016136688,-24.20192537540472,125.51495016611295,-45.96714911773076,127.94494542002847,-73.71023128566905,78.13004271476032,-55.12456002539628,16.165163739914572,-2.3144513226999885,127.94494542002847,0.0,0.0,0.0,0.0,4.592424419478177,23.45514950166113,83.27871581523969,101.82249644043664,105.12020172614189,-3.807923169267707,15.533978133945366,42.287612719506406,0.0,0.0,0.0,0.0,-12.770343178551045,168.64736592311343,-0.40401360812469256,168.64736592311343,-37.09488658396417,161.35738016136688,0.0,0.0,1
2019-02-25 13:52:22.597196,5.147691368449463,161.35738016136688,-20.124820727805684,130.374940673944,-42.194820581723675,132.8049359278595,-72.97349175576328,82.99003322259136,-55.12456002539628,16.165163739914572,2.2932473379815757,127.94494542002847,0.0,0.0,0.0,0.0,4.592424419478177,23.45514950166113,80.61352617155636,99.39250118652112,102.03127017863358,-3.807923169267707,15.419490347954326,39.85761746559089,0.0,0.0,0.0,0.0,-5.4629666142082,168.64736592311343,5.399774610871111,171.07736117702893,-29.425985250500414,161.35738016136688,0.0,0.0,1
2019-02-25 13:52:23.029144,10.86901586410223,163.78737541528238,-15.797765728679261,132.8049359278595,-33.99041585705092,135.23493118177504,-69.5677258886892,85.42002847650689,-53.07305068706276,11.305173232083531,2.340320944355963,132.8049359278595,0.0,0.0,0.0,0.0,6.372630870936429,18.59515899383009,77.99585181596595,96.96250593260561,100.31519709668453,-3.807923169267707,13.574206529340337,33.17513051732321,0.0,0.0,0.0,0.0,-0.40401360812469256,168.64736592311343,13.876401924540419,171.07736117702893,-24.705882352941146,163.78737541528238,0.0,0.0,1
2019-02-25 13:52:23.382854,19.045346062052527,163.78737541528238,-13.913012858885153,135.23493118177504,-26.9633248076929,135.23493118177504,-65.67204145237916,85.42002847650689,-49.35814958280289,7.052681537731371,-0.3579789278419655,132.8049359278595,0.0,0.0,0.0,0.0,7.84767020453473,18.59515899383009,75.96439956708552,89.67252017085904,99.67290197280997,-5.0372148859543815,11.65049258364109,33.17513051732321,0.0,0.0,0.0,0.0,5.399774610871111,171.07736117702893,23.218265376786388,172.89985761746559,-17.6751971512138,166.21737066919792,0.0,0.0,1
2019-02-25 13:52:23.741916,22.190088445879564,163.78737541528238,-11.403337484114434,135.23493118177504,-22.445909133105605,135.23493118177504,-61.36437798721614,82.99003322259136,-45.65193483008373,2.1926910299003324,2.364589974533047,135.23493118177504,0.0,0.0,0.0,0.0,6.328812363804547,16.165163739914572,74.82752310101117,85.42002847650689,99.67290197280997,-5.0372148859543815,13.574206529340337,33.17513051732321,96.33019603732694,101.82249644043664,0.0,0.0,11.268208904949862,171.07736117702893,25.850628501878198,172.89985761746559,-15.446206771553337,166.21737066919792,0.0,0.0,1
2019-02-25 13:52:24.098670,27.850624736768232,163.78737541528238,-9.469316909655767,137.66492643569055,-20.438168833289026,135.23493118177504,-55.0406853870862,78.13004271476032,-42.71773889612307,4.6226862838158524,2.414670028668168,140.09492168960605,0.0,0.0,0.0,0.0,7.902383574295782,21.025154247745608,80.7488184424646,85.42002847650689,98.41267455318895,-7.495798319327732,13.748002574597487,37.42762221167536,87.98691819744792,89.67252017085904,0.0,0.0,13.876401924540419,171.07736117702893,29.14108240824296,172.89985761746559,-12.659968796977758,166.21737066919792,0.0,0.0,1
2019-02-25 13:52:24.457603,30.366418643829864,163.78737541528238,-4.916456692659324,137.66492643569055,-14.02217712665221,137.66492643569055,-51.89457566759277,70.84005695301376,-38.892601580348426,-1.3493397358943577,4.621769477457113,137.66492643569055,5.499847202666409,80.56003796867584,31.838864988064593,63.55007119126721,7.793709258139048,16.165163739914572,84.84817675577851,85.42002847650689,97.06585296195531,-7.495798319327732,15.113177685899737,33.17513051732321,71.33007936893274,80.56003796867584,0.0,0.0,17.136643199028615,171.07736117702893,32.17094946902318,175.32985287138112,-12.770343178551045,168.64736592311343,0.0,0.0,1
2019-02-25 13:52:24.788975,30.366418643829864,163.78737541528238,-4.87818150971056,135.23493118177504,-11.315246980049078,132.8049359278595,-49.27616593124811,63.55007119126721,-37.90947226193654,2.1926910299003324,4.621769477457113,137.66492643569055,7.804592834532979,82.99003322259136,35.93057115124756,65.98006644518273,7.740485320009206,13.73516848599905,64.58448104325805,68.41006169909825,95.85391145030397,-9.95438175270108,15.004786973585183,30.74513526340769,92.95558867539485,92.10251542477455,97.68338933970112,-6.266506602641056,17.136643199028615,171.07736117702893,34.40580865842657,172.89985761746559,-12.659968796977758,166.21737066919792,0.0,0.0,1
2019-02-25 13:52:25.158865,30.01201194058255,161.35738016136688,-2.3321933460465276,130.374940673944,-11.228507036926105,130.374940673944,-46.71761189110972,59.29757949691504,-37.500083258031054,-1.3493397358943577,6.783093868550945,135.23493118177504,9.693274345023536,85.42002847650689,35.93057115124756,65.98006644518273,6.2008993443711065,8.875177978168011,63.55878029373291,63.55007119126721,96.73100668024524,-10.876350540216087,15.004786973585183,30.74513526340769,92.14855926180414,89.67252017085904,99.46738705981014,-8.725090036014405,16.929384554078013,168.64736592311343,34.40580865842657,172.89985761746559,-12.551486003206284,163.78737541528238,0.0,0.0,1
2019-02-25 13:52:25.508161,29.327450152438452,156.49738965353583,-0.35253232067613355,127.94494542002847,-9.04357096419358,123.08495491219745,-44.544888176882665,54.437588989084006,-37.2986867297207,-2.5786314525810323,6.645271494383796,130.374940673944,15.933788987681227,82.99003322259136,45.67515492370985,68.41006169909825,6.2008993443711065,8.875177978168011,60.5449251796928,56.86758424299953,88.89767561864286,-12.105642256902762,15.004786973585183,30.74513526340769,92.14855926180414,89.67252017085904,98.30883360410265,-5.0372148859543815,16.727079367270008,166.21737066919792,33.677598524343026,168.64736592311343,-12.444846583544951,161.35738016136688,0.0,0.0,1
2019-02-25 13:52:25.874630,31.399067722277774,154.06739439962033,-2.2628087698748596,120.65495965828192,-10.676085125767571,113.97247271001423,-43.733507093978034,47.14760322733745,-37.09944187088568,-3.807923169267707,6.578439443990885,127.94494542002847,13.911603990565643,87.8500237304224,41.80733821743862,68.41006169909825,7.5977986898698475,7.052681537731371,60.783443778648504,49.57759848125296,90.18702078626578,-15.793517406962785,17.036891631598987,33.17513051732321,94.46058207533538,89.67252017085904,100.096201542231,-7.495798319327732,16.336635625909352,161.35738016136688,36.457475006190116,166.21737066919792,-10.082408428400136,156.49738965353583,0.0,0.0,1
